지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
143|강수량 (mm)|20200410|||||0.0||0.0||||||||||||||||||
143|강수량 (mm)|20200411|||||||||||||||||0.0|0.1||||0.0|||
143|강수량 (mm)|20200412||||||||||0.1|0.4|0.0|0.0|0.0|0.0|0.5|||0.0|0.0|0.0||||
143|강수량 (mm)|20200413|||||||||||||||||||||||||
143|강수량 (mm)|20200414|||||||||||||||||||||||||
143|강수량 (mm)|20200415|||||||||||||||||||||||||
143|강수량 (mm)|20200416|||||||||||||||||||||||||
143|강수량 (mm)|20200417|||||||||1.0|2.5|2.0|2.0|1.0|1.5|0.0|||0.5|0.5|0.0|0.5||||
143|강수량 (mm)|20200418||||0.0||0.3|||||||||||||||||||
143|강수량 (mm)|20200419|||||||||||||||0.0|1.0|3.0|1.5|3.0|3.0|3.5|3.0|1.0|0.0|
143|강수량 (mm)|20200420|0.5||||||||||||||||||||||||
143|강수량 (mm)|20200421|||||||||||||||||||||||||
143|강수량 (mm)|20200422|||||||||||||||||||||||||
143|강수량 (mm)|20200423|||||||||||||||||||||||||
143|강수량 (mm)|20200424|||||||||||||||||||||||||
143|강수량 (mm)|20200425|||||||||||||||||||||||||
143|강수량 (mm)|20200426|||||||||||||||||||||||||
143|강수량 (mm)|20200427|||||||||||||||||||||||||
143|강수량 (mm)|20200428|||||||||||||||||||||||||
143|강수량 (mm)|20200429|||||||||||||||||||||||||
143|강수량 (mm)|20200430|||||||||||||||||||||||||
143|강수량 (mm)|20200501|||||||||||||||||||||||||
143|강수량 (mm)|20200502|||||||||||||||||||||0.0||||
143|강수량 (mm)|20200503|0.1|0.0|0.0|0.3|0.1|0.0|0.5|0.0|0.5||0.0|2.5|1.0|0.0||||||0.5|||||
143|강수량 (mm)|20200504|||||||||||||||||||||||||
143|강수량 (mm)|20200505||||||||||||||2.5|||0.0||||||||
143|강수량 (mm)|20200506|||||||||||||||||||||||||
143|강수량 (mm)|20200507|||||||||||||||||||||||||
143|강수량 (mm)|20200508|||||||||||||||||||||0.0|0.0|0.2|1.3|
143|강수량 (mm)|20200509|3.0|2.0|3.5|1.5|2.0|2.0|0.5|0.5|0.5|0.5|0.0|0.5|0.0|0.0||0.0|0.0||||||||
143|강수량 (mm)|20200510|||||||||||||||||||||||||
143|강수량 (mm)|20200511|||||||||||||||||||||||||
143|강수량 (mm)|20200512|||||||||||||||||||||||||
143|강수량 (mm)|20200513|||||||||||||||||||||||||
143|강수량 (mm)|20200514|||||||||||||||||||||||||
143|강수량 (mm)|20200515|||0.0|||0.0|0.0|0.5|1.0|1.5|1.0|1.0|0.0|0.0|||0.0|0.0|0.0||||||
143|강수량 (mm)|20200516|||||0.0|0.1|||||||||||||||||||
143|강수량 (mm)|20200517|||||||||||||||||||||||||
143|강수량 (mm)|20200518||||||||||||||||||||||0.2|0.3|3.0|
143|강수량 (mm)|20200519|2.0|0.5|0.5|||||||||||0.5|0.0||||||||||
143|강수량 (mm)|20200520|||||||||||||||||||||||||
143|강수량 (mm)|20200521|||||||||||||||||||||||||
143|강수량 (mm)|20200522|||||||||||||||||||||||||
143|강수량 (mm)|20200523|||||||||||||||||||||||||
143|강수량 (mm)|20200524|||||||||||||||||||||||||
143|강수량 (mm)|20200525|||||||||||||||||||||||||
143|강수량 (mm)|20200526|||||||||||||||||||||||||
143|강수량 (mm)|20200527|||||||||||||||||||||||||
143|강수량 (mm)|20200528|||||||||||||||||||||||||
143|강수량 (mm)|20200529|||||||||||||||||||||||||
143|강수량 (mm)|20200530|||||||||||||||||||||||||
143|강수량 (mm)|20200531|||||||||||||||||||||||||
143|강수량 (mm)|20200601|||||||||||||||||||||||||
143|강수량 (mm)|20200602|||||||||||||||||||||||||
143|강수량 (mm)|20200603|||||||||||||||||||||||||
143|강수량 (mm)|20200604|||||||||||||||||||||||||
143|강수량 (mm)|20200605|||||||||||||||||||||||||
143|강수량 (mm)|20200606|||||||||||||||||||||||||
143|강수량 (mm)|20200607|||||||||||||||||||||||||
143|강수량 (mm)|20200608|||||||||||||||||||||||||
143|강수량 (mm)|20200609|||||||||||||||||||||||||
143|강수량 (mm)|20200610||||||||||||||||||||||0.0|0.1||
143|강수량 (mm)|20200611|0.4|0.1|20.5|7.5|0.5|0.0|0.0|0.0|||||||||||||||||
143|강수량 (mm)|20200612||||||||||||||||||0.0|27.5|2.0|6.5|5.0|6.5|3.5|
143|강수량 (mm)|20200613|3.0|0.0|1.0|0.5|2.5|3.0|0.0||||||||||||0.0||||||
143|강수량 (mm)|20200614||2.0|2.5|9.0|4.0|0.0|1.5|7.0|4.0|5.5|1.0|0.0|||||||||||||
143|강수량 (mm)|20200615|||||||||||||||||||||||||
143|강수량 (mm)|20200616|||||||||||||||||||||||||
143|강수량 (mm)|20200617|||||||||||||||||||||||||
143|강수량 (mm)|20200618|0.0|0.0|0.0|0.0|0.5|0.0|0.3|0.4|1.4|0.2|0.5|0.1|0.5|1.1|0.3|0.2|0.0|0.0|0.0|0.0|0.5|0.6|0.6|0.0|
143|강수량 (mm)|20200619|||0.1||0.0|0.3|0.0||||||||||||||||||
143|강수량 (mm)|20200620|||||||||||||||||||||||||
143|강수량 (mm)|20200621|||||||||||||||||||||||||
143|강수량 (mm)|20200622|||||||||||||||||||||||||
143|강수량 (mm)|20200623|||||||||||||||||||||||||
143|강수량 (mm)|20200624|||||||||||0.0|0.0|0.3|0.1|0.0|0.2|0.0|0.2|1.2|0.3|0.0||||
143|강수량 (mm)|20200625||0.0||||||||0.0||||0.4|0.0|0.0|0.3||||0.0||||
143|강수량 (mm)|20200626|||||||||||||||||||||||||
143|강수량 (mm)|20200627|||||||||||||||||||||||||
143|강수량 (mm)|20200628|||||||||||||||||||||||||
143|강수량 (mm)|20200629||||||||||||||||0.0|1.1|8.1|3.1|4.0|4.4|6.4|8.2|6.9|
143|강수량 (mm)|20200630|4.2|0.7|0.0||||||||||||||||||0.0|0.0|0.0|1.0|
143|강수량 (mm)|20200701|0.3||0.1||||||||||||||||||||||
143|강수량 (mm)|20200702|||||||||||||||||||||||||
143|강수량 (mm)|20200703|||||||||||||0.0|0.0|0.0||||0.0|0.0|0.1|2.3|2.0|1.5|
143|강수량 (mm)|20200704|0.0||||||||||||||||||||||||
143|강수량 (mm)|20200705|||||||||||||||||||||||||
143|강수량 (mm)|20200706|||||||||||||||||||||||||
143|강수량 (mm)|20200707||||||||||||||||||0.0|0.0||||||
143|강수량 (mm)|20200708|||||||||||||||||||||||||
143|강수량 (mm)|20200709||||||||||||||||||||||||0.0|
143|강수량 (mm)|20200710|0.0|||0.0|1.1|5.3|3.6|5.7|7.4|2.5|0.3|0.3|0.0||||||||||||
143|강수량 (mm)|20200711|||||||||||||||||||||||||
143|강수량 (mm)|20200712|||||||||||||0.1|0.4|0.3|0.0|0.1|0.4|2.0|3.3|5.2|7.9|3.8|4.3|
143|강수량 (mm)|20200713|0.7|2.0|1.6|2.9|4.2|1.2|3.9|11.9|9.3|8.3|4.0|2.7|1.7|0.1|||||||||||
143|강수량 (mm)|20200714|||0.0|0.3|0.4|0.1|0.0|0.0|0.0||||||0.0|0.0|0.0|0.0|0.0|0.0|||||
143|강수량 (mm)|20200715||||0.3|1.1|0.7|0.2|0.0||||0.1|0.0||||||||||||
143|강수량 (mm)|20200716|||||||||||||||||||||||||
143|강수량 (mm)|20200717|||||||||||||||||||||||||
143|강수량 (mm)|20200718|||||||||||||||||||||||||
143|강수량 (mm)|20200719|||||||||||||||0.0||||||||0.0||
143|강수량 (mm)|20200720||||||||||0.0|||0.9||||0.0||||||||
143|강수량 (mm)|20200721|0.0|5.7|0.2||||||||||||||||||||||
143|강수량 (mm)|20200722|0.0|4.3|3.8|3.0|6.7|0.6|4.2|4.0|1.5|0.9|0.9|1.1|1.2|1.7|1.5|1.6|3.4|0.4|2.0|0.0|0.6|1.7|0.4|0.1|
143|강수량 (mm)|20200723|0.9|0.1|0.4|0.5|0.0|0.0|0.5|0.9|0.4|0.2|1.9|2.9|0.9|1.4|1.5|2.9|3.0|4.7|0.6|2.2|6.6|9.0|15.6|6.0|
143|강수량 (mm)|20200724||||0.1|0.0|||||||0.0|1.4|1.4|0.0|0.2||0.0|1.9|1.0|0.4|1.3|2.0|1.8|
143|강수량 (mm)|20200725|3.8|1.2|1.8|0.5|0.4|1.3|1.5|0.9|0.1|0.0|||||0.3|1.8|0.1|0.0|||||||
143|강수량 (mm)|20200726||||0.0|||||||||||||||||||||
143|강수량 (mm)|20200727|||||||||||||0.3|0.0|0.0|0.0|0.7|3.3|5.1|4.7|1.3|1.3|0.2|0.0|
143|강수량 (mm)|20200728|0.6|0.8|0.0|0.0||0.3|0.2|0.0||||||||||2.6|2.4|2.8|1.5|0.7|2.4|0.3|
143|강수량 (mm)|20200729|0.0|0.2|0.3|0.6|0.0||||||0.1|1.0|1.2|0.0|0.3|0.2|||||||||
143|강수량 (mm)|20200730|||||0.0|0.1|||0.1|11.7|16.4|3.0|2.9|1.8|||||||||||
143|강수량 (mm)|20200731||||||0.1|||0.0|0.3|0.0||||||0.0|0.0|||||||
143|강수량 (mm)|20200801|||0.0||0.1|0.0|||||||||||0.0|0.0||0.0|0.0||||
143|강수량 (mm)|20200802|||||||||||||||||||||||||
143|강수량 (mm)|20200803|||||||||||||||||||||||||
143|강수량 (mm)|20200804|||||||||||||||||||||||||
143|강수량 (mm)|20200805|||||||||||||0.0|0.0||||||||||0.0|
