지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
281|강수량 (mm)|20190415|||||||||||||||||||||||||
281|강수량 (mm)|20190416|||||||||||||||||||||||||
281|강수량 (mm)|20190417|||||||||||||||||||||||||
281|강수량 (mm)|20190418|||||||||||||||||||||||||
281|강수량 (mm)|20190419|||||||||||||||||||||||||
281|강수량 (mm)|20190420|||||||||||||||||||||||||
281|강수량 (mm)|20190421|||||||||||||||||||||||||
281|강수량 (mm)|20190422|||||||||||||||||||||||||
281|강수량 (mm)|20190423||||||||||||||||0.0|0.2|0.3|0.5|0.5|0.0|0.5|0.0|1.0|
281|강수량 (mm)|20190424|1.5|1.0|0.5|0.5|0.0|0.0||0.0|0.5||||||||||||||||
281|강수량 (mm)|20190425|||||||||||||||||||0.0||||||
281|강수량 (mm)|20190426|0.4|0.1||0.5|0.0|0.5|0.0|0.5|0.5|0.5|1.5||0.0|1.5|0.0|0.0|1.5|1.0|0.0|0.0|0.5||||
281|강수량 (mm)|20190427|||||||||||||||||||||||||
281|강수량 (mm)|20190428|||||||||||||||||||||||||
281|강수량 (mm)|20190429||||||||||||0.5|2.5|5.0|5.0|6.0|5.5|7.5|4.5|1.5|0.5|||0.0|
281|강수량 (mm)|20190430||||0.5|||||||||||||||||||||
281|강수량 (mm)|20190501|||||||||||||||||||||||||
281|강수량 (mm)|20190502|||||||||||||||||||||||||
281|강수량 (mm)|20190503|||||||||||||||||||||||||
281|강수량 (mm)|20190504|||||||||||||||||||||||||
281|강수량 (mm)|20190505|||||||||||||||||||||||||
281|강수량 (mm)|20190506|||||||||||||||||||||||||
281|강수량 (mm)|20190507|||||||||||||||||||||||||
281|강수량 (mm)|20190508|||||||||||||||||||||||||
281|강수량 (mm)|20190509|||||||||||||||||||||||||
281|강수량 (mm)|20190510|||||||||||||||||||||||||
281|강수량 (mm)|20190511|||||||||||||||||||||||||
281|강수량 (mm)|20190512|||||||||||||||||||||||||
281|강수량 (mm)|20190513|||||||||||||||||||||||||
281|강수량 (mm)|20190514|||0.0|0.0||0.0|||||||||||||||||||
281|강수량 (mm)|20190515|||||||||||||||||||||||||
281|강수량 (mm)|20190516|||||||||||||||||||||||||
281|강수량 (mm)|20190517|||||||||||||||||||||||||
281|강수량 (mm)|20190518|0.0|1.0|1.5|0.0|1.5|2.0|1.0|1.0|1.0|2.0|0.5|0.0||0.5|||||||||||
281|강수량 (mm)|20190519|||||||||||||||0.0|0.3|0.2|0.0|0.5||0.0|0.0|||
281|강수량 (mm)|20190520|0.5|0.0||0.5||||||0.0|||||||||||||||
281|강수량 (mm)|20190521|||||||||||||||||||||||||
281|강수량 (mm)|20190522|||||||||||||||||||||||||
281|강수량 (mm)|20190523|||||||||||||||||||||||||
281|강수량 (mm)|20190524|||||||||||||||||||||||||
281|강수량 (mm)|20190525|||||||||||||||||||||||||
281|강수량 (mm)|20190526|||||||||||||||||||||||||
281|강수량 (mm)|20190527||0.0|0.0|0.0|0.0|0.3|1.2|3.0|0.5|0.5|0.0|0.0|0.0|0.5|0.0|||||1.5|0.5||||
281|강수량 (mm)|20190528|||||||||||||||||||||||||
281|강수량 (mm)|20190529|||||||||||||||||||||||||
281|강수량 (mm)|20190530||||||||||||||||||||||0.0|0.0||
281|강수량 (mm)|20190531|0.0|0.2|0.1|0.2|0.5||||||||||||||||||||
281|강수량 (mm)|20190601|||||||||||||||||||||||||
281|강수량 (mm)|20190602|||||||||||||||||||||||||
281|강수량 (mm)|20190603|||||||||||||||||||||||||
281|강수량 (mm)|20190604|||||||||||||||||||||||||
281|강수량 (mm)|20190605|||||||||||||||||||||||||
281|강수량 (mm)|20190606||||||||||||||||||||0.0|0.1|0.9|5.0|2.5|
281|강수량 (mm)|20190607|1.5|5.0|4.0|3.5|2.5|2.0|0.5|1.5|0.0|0.0|0.5|0.0|0.5|||||0.0|0.0||||||
281|강수량 (mm)|20190608|||||||||||||||||||||||||
281|강수량 (mm)|20190609|||||||||||||||||||||||||
281|강수량 (mm)|20190610|||||||||||||||||||||||||
281|강수량 (mm)|20190611|||||||||||||||||||||||||
281|강수량 (mm)|20190612|||||||||||||||||||||||||
281|강수량 (mm)|20190613|||||||||||||||||||||||||
281|강수량 (mm)|20190614||||||||||||||0.1|0.1|0.0|0.2|0.1|0.0|||||0.0|
281|강수량 (mm)|20190615|1.5|1.5|0.0|0.0||||||||||||||0.5||0.0|0.0|6.5|3.0|0.0|
281|강수량 (mm)|20190616|||||||||||||||||||||||||
281|강수량 (mm)|20190617|||||||||||||||||||||||||
281|강수량 (mm)|20190618||||||||||0.0|0.0|||||||||0.1|||||
281|강수량 (mm)|20190619|||||||||||||||||||||||||
281|강수량 (mm)|20190620|||||||||||||||||||||||||
281|강수량 (mm)|20190621|||||||||||||||||||0.0|8.5|0.5|0.0|||
281|강수량 (mm)|20190622|||||||||||||||||||||||||
281|강수량 (mm)|20190623|||||||||||||||||||||||||
281|강수량 (mm)|20190624|||||||||||||||||||||||||
281|강수량 (mm)|20190625|||||||||||||||||||||||||
281|강수량 (mm)|20190626|||||||||||0.0|2.0|5.5|6.5|3.0|4.5|2.0|4.0|9.5|20.0|8.0|7.5|3.0|1.5|
281|강수량 (mm)|20190627|4.5|13.0|21.0|7.5|2.0|7.0|7.0|3.0|1.5|0.5|0.0||||||||||||||
281|강수량 (mm)|20190628|||1.5|1.0|0.0|0.0|1.5|0.0|||||||||||||||||
281|강수량 (mm)|20190629||||||||0.5|0.5|1.5|1.0|1.0|0.0|1.0|1.0|1.0|2.5|11.5|13.5|2.5|2.5|1.0|0.5|0.0|
281|강수량 (mm)|20190630|||||||||||||||||||||||||
281|강수량 (mm)|20190701|||||||||||0.0|0.0|0.0||||||||||||
281|강수량 (mm)|20190702|||||||||||||||||||||||||
281|강수량 (mm)|20190703|||||||||||||||||||||||||
281|강수량 (mm)|20190704|||||||||||||||||||||||||
281|강수량 (mm)|20190705|||||||||||||||||||||||||
281|강수량 (mm)|20190706|||||||||||||||||||||||||
281|강수량 (mm)|20190707||||0.0|0.2||||||||||||||||||||
281|강수량 (mm)|20190708|||||||||||||||||||||||||
281|강수량 (mm)|20190709|||||||||||||||||||||||||
281|강수량 (mm)|20190710|||||||||||||||0.1|0.4|4.5|5.5|4.5|1.5|0.5|0.0|0.5||
281|강수량 (mm)|20190711|0.4|0.6|0.0||||||||||||||||||||||
281|강수량 (mm)|20190712|||||||||||||||||||||||||
281|강수량 (mm)|20190713|||||||||||||||||||||||||
281|강수량 (mm)|20190714|||||||||||||||||||||||||
